"IndivYr","Date","AvgGHerb","AvgGShrub"
"140040-14",2014-07-01,1.90315975709393,162.551297358765
"140040-14",2014-07-02,6.70538608092639,8.69039552483539
"140040-14",2014-07-03,7.64317852450426,8.57107434796588
"140040-14",2014-07-04,4.4995978531294,18.4815637632161
"140040-14",2014-07-05,2.38608850711638,8.57291442245434
"140040-14",2014-07-06,4.65585770831401,51.0495199727102
"140040-14",2014-07-07,1.18974581359153,8.38923829797478
"140040-14",2014-07-08,1.39141987331415,25.0656612657262
"140040-14",2014-07-09,1.49914536654522,5.63304732112897
"140040-14",2014-07-10,1.58215494900485,11.7216393490973
"140040-14",2014-07-11,1.89574685202558,4.61973043093523
"140040-14",2014-07-12,3.3972990102368,15.8182751073987
"140040-14",2014-07-13,2.40613949471641,7.03087375389483
"140040-14",2014-07-14,1.56036098141245,116.314861833469
"140040-14",2014-07-15,1.49667364254064,7.73082677733384
"140040-14",2014-07-16,2.65971350064012,4.61167799234847
"140040-14",2014-07-17,7.25131420523366,24.857939832442
"140040-14",2014-07-18,8.59630665320319,94.5219178976483
"140040-14",2014-07-19,24.0429006710182,15.8930923748052
"140040-14",2014-07-20,30.0094186538866,38.6739286278777
"140040-14",2014-07-21,7.5023615706693,40.4379224544975
"140040-14",2014-07-22,9.30139324312895,31.2779521396067
"140040-14",2014-07-23,1.18154041132983,186.250700513376
"140040-14",2014-07-24,6.31103527439578,94.7775010994036
"140040-14",2014-07-25,15.0430484390306,41.3876346107295
"140040-14",2014-07-26,4.71796849675762,167.921598786925
"140040-14",2014-07-27,11.8993207097191,136.593727045919
"140040-14",2014-07-28,3.23285762149484,5.6713184507069
"140040-14",2014-07-29,8.55616849193091,2.08854118030264
"140040-14",2014-07-30,9.5307398926763,2.31877628100297
"140040-14",2014-07-31,3.4774021687851,306.506391674154
"140040-14",2014-08-01,5.90812901249271,237.404035729282
"140040-14",2014-08-02,9.32438902583155,35.0942655614145
"140040-14",2014-08-03,1.60663190219878,241.475965027259
"140040-14",2014-08-04,1.39120369262563,179.914233059975
"140040-14",2014-08-05,1.73368601738304,159.900484807787
"140040-14",2014-08-06,1.16403701570684,265.091503522927
"140040-14",2014-08-07,2.46881776565168,164.39099641602
"140040-14",2014-08-08,5.35512624532794,89.3486473563367
"140040-14",2014-08-09,15.1922306897764,24.2039219707306
"140040-14",2014-08-10,16.4204747460635,73.3231632335076
"140040-14",2014-08-11,3.22735647722028,192.056766953824
"140040-14",2014-08-12,1.90261716856805,154.79699922451
"140040-14",2014-08-13,1.60468279408832,275.63261527681
"140040-14",2014-08-14,3.86948503242403,81.979717310547
"140040-14",2014-08-15,1.53186187105868,146.424635907747
"140040-14",2014-08-16,3.07196508930914,222.641712717175
"140040-14",2014-08-17,4.71303309819305,153.144901887084
"140040-14",2014-08-18,3.88602052758596,218.146240157832
"140040-14",2014-08-19,2.19676411376563,204.762924636034
"140040-14",2014-08-20,2.24764032382647,180.347646662642
"140040-14",2014-08-21,2.05012571990218,277.250316537331
"140040-14",2014-08-22,2.94241945272918,112.757850667962
"140040-14",2014-08-23,9.04555581811091,104.387835624345
"140040-14",2014-08-24,17.0739955223367,89.6513485601895
"140040-14",2014-08-25,12.5226368631031,46.686685772949
"140040-14",2014-08-26,7.64231938386865,97.0974624937051
"140040-14",2014-08-27,4.85800109514517,176.219258888368
"140040-14",2014-08-28,3.4382316711985,284.721927313977
"140040-14",2014-08-29,9.39181141424505,94.5860865302032
"140040-14",2014-08-30,5.32680087125341,311.759755589359
"140040-14",2014-08-31,4.91282826383966,228.133831681283
"140050-14",2014-07-01,23.6048552198826,18.9746680603249
"140050-14",2014-07-02,21.2629627227126,16.720645179165
"140050-14",2014-07-03,22.3115592710219,0.346145159174127
"140050-14",2014-07-04,16.4497550379363,6.90283339200256
"140050-14",2014-07-05,13.3296231407439,34.1374381785743
"140050-14",2014-07-06,17.6315354338995,13.5907187291529
"140050-14",2014-07-07,17.5083301480007,33.0450835251346
"140050-14",2014-07-08,21.5233810110613,0.881391977734928
"140050-14",2014-07-09,30.6484095059849,0.889228876871842
"140050-14",2014-07-10,31.7924672763295,5.20318503795565
"140050-14",2014-07-11,27.7904569549952,1.2150491186082
"140050-14",2014-07-12,33.3602013121049,0.145811951872146
"140050-14",2014-07-13,32.0912818799439,0.751774415835256
"140050-14",2014-07-14,40.1553127437473,0.191643713828294
"140050-14",2014-07-15,30.5880036358564,1.28183470214876
"140050-14",2014-07-16,16.6536896974025,12.8340811700596
"140050-14",2014-07-17,23.2797632294112,11.5241212050638
"140050-14",2014-07-18,8.68210655292764,32.21720461709
"140050-14",2014-07-19,14.4759891994285,37.763469790231
"140050-14",2014-07-20,24.0614908958733,10.1684423887046
"140050-14",2014-07-21,12.4095897821586,13.0212396166238
"140050-14",2014-07-22,7.88574182249954,26.0836487222399
"140050-14",2014-07-23,6.74218509537689,22.6523487013991
